0.3463 -0.60 0.38 -0.03 5.31 4.32 5.29
0.3539 -0.09 0.39 -0.03 5.22 4.32 5.29
0.3614 0.12 0.38 -0.03 5.20 4.32 5.29
0.3690 0.12 0.38 -0.03 4.92 4.32 5.28
0.3766 -0.27 0.38 -0.04 5.38 4.32 5.29
0.3841 -0.42 0.38 -0.04 5.09 4.32 5.28
0.3918 0.12 0.38 -0.04 5.00 4.32 5.28
0.3994 -0.43 0.38 -0.05 5.21 4.32 5.28
0.4071 0.17 0.38 -0.04 5.04 4.32 5.27
0.4147 -0.30 0.38 -0.05 5.13 4.32 5.27
0.4223 -0.06 0.38 -0.05 5.18 4.32 5.27
0.4300 -0.23 0.38 -0.05 5.16 4.32 5.27
0.4377 -0.24 0.38 -0.06 5.26 4.32 5.27
0.4453 -0.37 0.38 -0.06 5.54 4.32 5.27
0.4529 0.02 0.38 -0.07 5.29 4.32 5.27
0.4604 -0.27 0.38 -0.07 5.05 4.32 5.27
0.4680 -0.07 0.38 -0.07 5.12 4.32 5.27
0.4756 -0.18 0.38 -0.07 5.00 4.32 5.26
0.4832 -0.39 0.38 -0.08 5.17 4.32 5.26
0.4908 0.02 0.38 -0.08 5.20 4.32 5.25
0.4984 -0.16 0.38 -0.08 5.38 4.32 5.26
0.5059 -0.49 0.38 -0.09 5.03 4.32 5.25
0.5135 0.25 0.38 -0.08 4.76 4.32 5.24
0.5211 -0.57 0.38 -0.09 5.49 4.32 5.25
0.5287 -0.14 0.38 -0.09 5.18 4.32 5.25
0.5363 0.00 0.38 -0.09 5.14 4.32 5.24
0.5440 -0.18 0.38 -0.09 5.22 4.32 5.24
0.5516 -0.31 0.38 -0.09 5.29 4.32 5.24
0.5592 0.36 0.38 -0.08 5.51 4.32 5.25
0.5669 -0.02 0.38 -0.08 5.76 4.32 5.26
0.5745 0.03 0.38 -0.08 5.35 4.32 5.26
0.5821 -0.75 0.38 -0.09 5.03 4.32 5.26
0.5898 -0.05 0.38 -0.09 5.34 4.32 5.26
0.5974 -0.29 0.38 -0.09 5.14 4.32 5.26
0.6050 -0.05 0.38 -0.09 5.21 4.32 5.26
0.6126 -0.03 0.38 -0.09 5.13 4.32 5.26
0.6202 -0.17 0.38 -0.09 4.77 4.32 5.25
0.6278 0.15 0.38 -0.09 4.80 4.32 5.24
0.6354 -0.11 0.38 -0.09 5.67 4.32 5.25
0.6429 -0.24 0.38 -0.09 5.52 4.33 5.25
0.6505 0.19 0.38 -0.09 5.21 4.33 5.25
0.6581 -0.14 0.38 -0.09 5.26 4.33 5.25
0.6657 -0.23 0.38 -0.09 5.75 4.32 5.26
0.6733 -0.39 0.38 -0.10 5.34 4.33 5.26
0.6808 -0.33 0.38 -0.10 5.28 4.32 5.26
0.6884 0.18 0.38 -0.10 5.39 4.32 5.27
0.6961 -0.31 0.38 -0.10 5.08 4.32 5.26
0.7036 -0.21 0.38 -0.10 5.75 4.32 5.27
0.7113 0.00 0.38 -0.10 5.32 4.32 5.27
0.7189 -0.36 0.38 -0.11 5.35 4.32 5.27
0.7265 -0.09 0.38 -0.11 5.28 4.32 5.27
0.7341 0.07 0.38 -0.10 4.71 4.32 5.26
0.7438 -0.57 0.38 -0.11 5.43 4.32 5.26
0.7514 -0.47 0.38 -0.12 5.16 4.32 5.26
0.7590 0.01 0.38 -0.11 5.34 4.32 5.26
0.7666 -0.33 0.38 -0.12 5.00 4.32 5.26
0.7742 -0.27 0.38 -0.12 5.18 4.32 5.26
0.7819 -0.27 0.38 -0.12 5.26 4.33 5.26
0.7895 -0.18 0.38 -0.12 5.33 4.33 5.26
0.7973 0.00 0.38 -0.12 5.48 4.33 5.27
0.8048 -0.08 0.39 -0.12 5.49 4.32 5.27
0.8125 -0.06 0.39 -0.11 5.30 4.32 5.27
0.8203 -0.25 0.39 -0.12 5.20 4.32 5.27
0.8279 -0.16 0.39 -0.12 5.16 4.33 5.27
0.8355 -0.42 0.39 -0.13 5.16 4.33 5.27
0.8430 -0.09 0.39 -0.13 5.25 4.33 5.27
0.8506 -0.19 0.39 -0.13 5.35 4.33 5.27
0.8583 -0.30 0.39 -0.13 5.17 4.33 5.27
0.8659 -0.17 0.39 -0.13 5.41 4.33 5.27
0.8735 -0.21 0.39 -0.13 4.95 4.33 5.26
0.8810 -0.38 0.39 -0.13 5.29 4.33 5.26
0.8887 -0.10 0.39 -0.13 4.83 4.33 5.26
